image_name,correct_class,image_prediction,basic_prediction,all_prediction,result_type
BBS_LM_001.jpg,BBS_LM,BBS_LM,BBS_LM,BBS_LM,画像のみで正解
BBS_LM_004.jpg,BBS_LM,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,WORK_MEISTER_S1_3PIECE,条件反映後も誤分類
BBS_LM_009.jpg,BBS_LM,BBS_LM,BBS_LM,BBS_LM,画像のみで正解
BBS_LM_021.jpg,BBS_LM,BBS_LM,BBS_LM,BBS_LM,画像のみで正解
BBS_LM_024.jpg,BBS_LM,BBS_LM,BBS_LM,BBS_LM,画像のみで正解
BBS_RI_A_001.jpg,BBS_RI_A,BBS_RI_A,BBS_RI_A,BBS_RI_A,画像のみで正解
BBS_RI_A_009.jpg,BBS_RI_A,WORK_MEISTER_S1_3PIECE,BBS_RI_A,BBS_RI_A,基本条件によって改善
BBS_RI_A_019.jpg,BBS_RI_A,BBS_RI_A,BBS_RI_A,BBS_RI_A,画像のみで正解
BBS_RI_A_025.jpg,BBS_RI_A,BBS_LM,BBS_LM,BBS_LM,条件反映後も誤分類
BBS_RI_A_026.jpg,BBS_RI_A,BBS_RI_A,BBS_RI_A,BBS_RI_A,画像のみで正解
RAYS_VR_G025_012.jpg,RAYS_VR_G025,RAYS_VR_G025,RAYS_VR_G025,RAYS_VR_G025,画像のみで正解
RAYS_VR_G025_019.jpg,RAYS_VR_G025,RAYS_VR_G025,RAYS_VR_G025,RAYS_VR_G025,画像のみで正解
RAYS_VR_G025_020.jpg,RAYS_VR_G025,BBS_RI_A,RAYS_VR_G025,RAYS_VR_G025,基本条件によって改善
RAYS_VR_G025_021.jpg,RAYS_VR_G025,RAYS_VR_G025,RAYS_VR_G025,RAYS_VR_G025,画像のみで正解
RAYS_VR_G025_027.jpg,RAYS_VR_G025,RAYS_VR_G025,RAYS_VR_G025,RAYS_VR_G025,画像のみで正解
RAYS_VR_TE37_SAGA_Splus_006.jpg,RAYS_VR_TE37_SAGA_Splus,RAYS_VR_G025,RAYS_VR_TE37_SAGA_Splus,RAYS_VR_TE37_SAGA_Splus,基本条件によって改善
RAYS_VR_TE37_SAGA_Splus_009.jpg,RAYS_VR_TE37_SAGA_Splus,WORK_EMOTION_CR_Kiwami,RAYS_VR_TE37_SAGA_Splus,RAYS_VR_TE37_SAGA_Splus,基本条件によって改善
